{{}, {1/2, 5/4}, $Aborted}
{{}, {-1/2, 5/4}, (-2*(4 + Pi - Log[4]))/7}
{{}, {5/4, -5}, (-103 - 30*Pi + 60*Log[8])/375}
{{}, {1/3, 5/2}, (-16 + Sqrt[3]*Pi - 9*Log[3] + Log[4096])/13}
{{}, {-1, -3/2}, (-2*(-5 + 3*Log[4]))/3}
{{}, {-4, -5/4}, (-163 + 30*Pi + 60*Log[8])/165}
{{}, {-2/3, -1/5}, $Aborted}
{{}, {-3/4, -3/2}, (-2*(-8 + 3*Pi - 6*Log[2]))/9}
{{}, {3/2, -3/5}, (5*(-4 - 3*Sqrt[2/(5 + Sqrt[5])]*Pi + 3*Sqrt[10/(5 + Sqrt[5])]*Pi + Log[1073741824/244140625] - 3*Log[5 - Sqrt[5]] - 3*Sqrt[5]*Log[5 - Sqrt[5]] - 3*Log[5 + Sqrt[5]] + 3*Sqrt[5]*Log[5 + Sqrt[5]]))/126}
{{}, {5/4, -2/3}, (2*(-15 - 3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8]))/23}
{{}, {1/3, 3/4}, (2*(3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8]))/5}
{{}, {2/3, -4/3}, 15/8}
{{}, {-2, 3/5}, (5*(6 - Sqrt[2/(5 + Sqrt[5])]*Pi + Sqrt[10/(5 + Sqrt[5])]*Pi + Log[3125] + Sqrt[5]*Log[5 - Sqrt[5]] - Sqrt[5]*Log[5 + Sqrt[5]]))/52}
{{}, {5/3, -5/3}, (9 + 5*Sqrt[3]*Pi)/50}
{{}, {-1/4, -1/3}, -2*(6 - 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8])}
{{}, {4/5, 1/3}, $Aborted}
{{}, {-3/4, 1/2}, (2*(8 + 3*Pi - 6*Log[2]))/15}
{{}, {-3, 5/4}, (-2*(13 + 3*Pi - 6*Log[8]))/51}
{{}, {-1/4, -4/3}, (-3 + 6*Pi - 2*Sqrt[3]*Pi - 18*Log[3] + 12*Log[8])/13}
{{}, {3/2, 2/3}, (-12 - Sqrt[3]*Pi - 3*Log[27/16])/5}
{{}, {1/3, -1}, (6 - Sqrt[3]*Pi + 9*Log[3])/8}
{{}, {-4, 2/3}, (25 + 2*Sqrt[3]*Pi + 18*Log[3])/56}
{{}, {-5/4, -4}, (-163 + 30*Pi + 60*Log[8])/165}
{{}, {-3, 5/4}, (-2*(13 + 3*Pi - 6*Log[8]))/51}
{{}, {-2/5, -5/2}, $Aborted}
{{}, {-1, 3/5}, (5*(4 - Sqrt[2/(5 + Sqrt[5])]*Pi + Sqrt[10/(5 + Sqrt[5])]*Pi + Log[3125] + Sqrt[5]*Log[5 - Sqrt[5]] - Sqrt[5]*Log[5 + Sqrt[5]]))/32}
{{}, {4/5, -2/5}, $Aborted}
{{}, {1/5, 4/5}, (Sqrt[5*(5 + 2*Sqrt[5])]*Pi)/3}
{{}, {-3, 5/2}, (-5 + 6*Log[4])/33}
{{}, {5/4, -4}, (-23 - 6*Pi + 12*Log[8])/63}
{{}, {-3/5, 0}, $Aborted}
{{}, {5/4, 5/2}, (2*(8 + 3*Pi - 6*Log[2]))/15}
{{}, {3/5, 1/4}, $Aborted}
{{}, {-2, -5/4}, (-66 + 10*Pi + 15*Log[16])/15}
{{}, {-2, -5/4}, (-66 + 10*Pi + 15*Log[16])/15}
{{}, {-3/4, -1/3}, (2*(-10 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/5}
{{}, {5/4, -2}, (-2*(5 + Pi - 2*Log[8]))/13}
{{}, {-3/4, -3}, (-2*(-1 + Pi - 2*Log[8]))/9}
{{}, {-5/4, 1/5}, $Aborted}
{{}, {-2/5, 3/2}, $Aborted}
{{}, {2/5, 0}, $Aborted}
{{}, {-5/4, -5/2}, (2*(-52 + 15*Pi + 30*Log[2]))/75}
{{}, {0, 5/2}, (2*(-8 + Log[64]))/15}
{{}, {3/5, -3/2}, $Aborted}
{{}, {-3/5, -2/5}, (-25 + 6*Sqrt[5*(5 - 2*Sqrt[5])]*Pi)/6}
{{}, {-1/4, -4}, (-23 + 6*Pi + 12*Log[8])/45}
{{}, {0, -5/4}, (-2*(-48 + 5*Pi + 10*Log[8]))/25}
{{}, {-1/4, 0}, -2*(-8 + Pi + Log[64])}
{{}, {1/2, -2}, (3 + Log[16])/5}
{{}, {-3/4, -2}, (-2*(-1 + 3*Pi - 6*Log[8]))/15}
{{}, {4/5, -4/3}, $Aborted}
{{}, {-1/5, 4/3}, $Aborted}
{{}, {1/2, -1/5}, $Aborted}
{{}, {2/3, -5}, (137 + 10*Sqrt[3]*Pi + 90*Log[3])/340}
{{}, {-2/5, 1/4}, $Aborted}
{{}, {-4/5, -1/2}, $Aborted}
{{}, {1/5, -5/3}, $Aborted}
{{}, {1/4, -3/4}, 4/3}
{{}, {3/4, -2/5}, $Aborted}
{{}, {3/4, 1/4}, 2*Pi}
{{}, {-1/3, 0}, (18 - Sqrt[3]*Pi - 9*Log[3])/2}
{{}, {-4/3, 1/4}, (45 - 6*Pi - 2*Sqrt[3]*Pi - 18*Log[3] + 12*Log[8])/19}
{{}, {-5/2, 1/5}, $Aborted}
{{}, {-1/4, -4/3}, (-3 + 6*Pi - 2*Sqrt[3]*Pi - 18*Log[3] + 12*Log[8])/13}
{{}, {-3/4, 1/3}, (-2*(-8 - 3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8]))/13}
{{}, {-5, -3}, 9/40}
{{}, {1/4, -3/5}, $Aborted}
{{}, {-4/3, 3/2}, (21 - 2*Sqrt[3]*Pi - 18*Log[3] + 3*Log[256])/34}
{{}, {-2/3, -3/4}, -2*(1 - 3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8])}
{{}, {-4/5, -3/2}, $Aborted}
{{}, {4/5, 5/2}, $Aborted}
{{}, {-1/5, -5}, $Aborted}
{{}, {1/4, 2/5}, $Aborted}
{{}, {3/4, -3/4}, (2*(4 + 3*Pi))/9}
{{}, {3/4, -3}, (2*(11 + 3*Pi + 6*Log[8]))/45}
{{}, {-5/4, -1/3}, (2*(54 - 15*Pi + 5*Sqrt[3]*Pi + 45*Log[3] - 30*Log[8]))/55}
{{}, {3/5, -1/2}, (5*(8 - Sqrt[2/(5 + Sqrt[5])]*Pi + Sqrt[10/(5 + Sqrt[5])]*Pi + Log[3125/256] + Sqrt[5]*Log[5 - Sqrt[5]] - Sqrt[5]*Log[5 + Sqrt[5]]))/22}
{{}, {-1/4, 4/5}, $Aborted}
{{}, {-3/4, 2/5}, $Aborted}
{{}, {-2/3, -2/5}, $Aborted}
{{}, {4/5, -5/4}, $Aborted}
{{}, {-1/5, 3/2}, $Aborted}
{{}, {1/4, 5/3}, (2*(-9 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/17}
{{}, {4/5, -2/5}, $Aborted}
{{}, {4/3, 2/5}, $Aborted}
{{}, {-5/4, -1/4}, 4/5}
{{}, {2/5, 3/4}, $Aborted}
{{}, {-3/5, -4}, $Aborted}
{{}, {-5/3, -2/5}, $Aborted}
{{}, {1/3, 1/4}, -2*(-3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8])}
{{}, {3/4, 3/4}, 8*Catalan + Pi^2}
{{}, {1/2, -5/2}, 46/45}
{{}, {-4/5, 1/5}, 5/4}
{{}, {-1/5, 1/3}, $Aborted}
{{}, {5/4, -2/3}, (2*(-15 - 3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8]))/23}
{{}, {-2/5, -4/5}, $Aborted}
{{}, {-1/4, -5}, (-103 + 30*Pi + 60*Log[8])/285}
{{}, {-4, 5/2}, (-7 + 24*Log[2])/78}
{{}, {4/5, -5}, $Aborted}
{{}, {-4/3, -2}, (-27 + 2*Sqrt[3]*Pi + 9*Log[9])/8}
{{}, {1/2, 2/5}, $Aborted}
{{}, {5/4, -4/3}, (-3 - 6*Pi - 2*Sqrt[3]*Pi + 12*Log[8] - 3*Log[729])/31}
{{}, {-3/4, 3/2}, (2*(-4 + 3*Pi - 6*Log[2]))/27}
{{}, {1/5, -4/5}, 5/4}
{{}, {-4/3, -2}, (-27 + 2*Sqrt[3]*Pi + 9*Log[9])/8}
{{}, {0, 5/3}, (-9 + Sqrt[3]*Pi + 9*Log[3])/10}
{{}, {-5/3, 0}, (63 + 5*Sqrt[3]*Pi - 45*Log[3])/50}
{{}, {-3/5, 1/3}, $Aborted}
{{}, {1/4, 5/2}, (2*(-16 + 3*Pi - 2*Log[8]))/27}
{{}, {4/3, -1/3}, -1/5*(Sqrt[3]*Pi)}
{{}, {1/3, 5/3}, (-9 + 2*Sqrt[3]*Pi)/8}
{{}, {5/3, 1/3}, (-9 + 2*Sqrt[3]*Pi)/8}
{{}, {5/4, -3/4}, -4/3}
{{}, {-5/3, -1/3}, (-27 + 10*Sqrt[3]*Pi)/40}
{{}, {-3/5, -4/3}, $Aborted}
