{{}, {4/3, -1/5}, $Aborted}
{{}, {-4, 5/2}, (-7 + 24*Log[2])/78}
{{}, {3/5, -2}, $Aborted}
{{}, {-1/4, -1/2}, 2*(-4 + Pi + Log[4])}
{{}, {4/3, -5/2}, (2 - 5*Sqrt[3]*Pi - 60*Log[2] + 45*Log[3])/115}
{{}, {-1/4, 1/5}, $Aborted}
{{}, {3/5, 4/5}, $Aborted}
{{}, {5/2, -2}, (-7 + 12*Log[2])/27}
{{}, {-4/5, -2/3}, $Aborted}
{{}, {5/3, -5/4}, (2*(99 - 15*Pi + 5*Sqrt[3]*Pi + 45*Log[3] - 30*Log[8]))/175}
{{}, {3/5, -3/5}, (25 + 3*Sqrt[5*(5 - 2*Sqrt[5])]*Pi)/18}
{{}, {1/4, -3/5}, $Aborted}
{{}, {2/3, -1/4}, (2*(24 - 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/11}
{{}, {-1/5, -4/3}, $Aborted}
{{}, {-1/3, -4}, $Aborted}
{{}, {-2/5, -2/3}, $Aborted}
{{}, {-2/5, 1/3}, $Aborted}
{{}, {-4, 2/3}, (25 + 2*Sqrt[3]*Pi + 18*Log[3])/56}
{{}, {-5/4, -4}, (-163 + 30*Pi + 60*Log[8])/165}
{{}, {-3, -1}, 5/12}
{{}, {1/5, 3/4}, $Aborted}
{{}, {-5, 4/5}, $Aborted}
{{}, {-3/4, 2/3}, (2*(8 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/17}
{{}, {5/3, 5/3}, (4*Pi^2)/3 - PolyGamma[1, 5/3]}
{{}, {-1/5, 0}, $Aborted}
{{}, {-5, 0}, 137/300}
{{}, {0, -3}, 11/18}
{{}, {1/2, 1/3}, Sqrt[3]*Pi - 9*Log[3] + Log[4096]}
{{}, {-5/4, -1/2}, $Aborted}
{{}, {5/2, -3/2}, 0}
{{}, {-1/5, 1/3}, $Aborted}
{{}, {1/2, -1/3}, (18 - Sqrt[3]*Pi - 9*Log[3] + 3*Log[16])/5}
{{}, {5/2, 1/5}, (5*(-32*Sqrt[5 - Sqrt[5]] + 3*Sqrt[2]*Pi + 3*Sqrt[10]*Pi + Sqrt[5 - Sqrt[5]]*Log[1073741824/244140625] - 3*Sqrt[5 - Sqrt[5]]*Log[5 - Sqrt[5]] + 3*Sqrt[5*(5 - Sqrt[5])]*Log[5 - Sqrt[5]] - 3*Sqrt[5 - Sqrt[5]]*Log[5 + Sqrt[5]] - 3*Sqrt[5*(5 - Sqrt[5])]*Log[5 + Sqrt[5]]))/(138*Sqrt[5 - Sqrt[5]])}
{{}, {2/5, -5/3}, $Aborted}
{{}, {-1/4, -2}, (2*(-5 + Pi + Log[64]))/7}
{{}, {2/5, -3/2}, $Aborted}
{{}, {-4/3, 1/2}, (45 - 2*Sqrt[3]*Pi + 24*Log[2] - 18*Log[3])/22}
{{}, {-2/3, 3/5}, $Aborted}
{{}, {3/4, -3/5}, $Aborted}
{{}, {0, 5/2}, (2*(-8 + Log[64]))/15}
{{}, {-2, -4/5}, $Aborted}
{{}, {1/5, -2/3}, $Aborted}
{{}, {-4, -1/3}, (-11 + 2*Sqrt[3]*Pi + 18*Log[3])/44}
{{}, {4/3, -1/2}, (-6 - Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/11}
{{}, {-2, -3}, 1/3}
{{}, {0, 2/5}, $Aborted}
{{}, {2/5, -4}, $Aborted}
{{}, {-2, 2/3}, (9 + Sqrt[3]*Pi + 9*Log[3])/16}
{{}, {1/2, -1}, (2*(1 + Log[4]))/3}
{{}, {3/2, 2/3}, (-12 - Sqrt[3]*Pi - 3*Log[27/16])/5}
{{}, {-4/3, -5/3}, (-99 + 20*Sqrt[3]*Pi)/20}
{{}, {-5/2, -2/3}, (47 - 5*Sqrt[3]*Pi - 60*Log[2] + 45*Log[3])/55}
{{}, {1/3, -3}, $Aborted}
{{}, {-3/5, -2/3}, $Aborted}
{{}, {5/4, 2/5}, $Aborted}
{{}, {0, -5}, 137/300}
{{}, {1/3, 1/4}, -2*(-3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8])}
{{}, {1/4, 1/3}, -2*(-3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8])}
{{}, {1/2, 0}, Log[16]}
{{}, {-1/2, 5/4}, (-2*(4 + Pi - Log[4]))/7}
{{}, {0, -4/3}, (45 - 2*Sqrt[3]*Pi - 18*Log[3])/16}
{{}, {1/4, -5/2}, $Aborted}
{{}, {-1, -5/4}, (-2*(-38 + 5*Pi + 10*Log[8]))/5}
{{}, {-2, 5/2}, (-7 + 12*Log[2])/27}
{{}, {1/5, -3}, $Aborted}
{{}, {3/5, 1/3}, (5*(2*Sqrt[3]*Pi - 3*Sqrt[2/(5 + Sqrt[5])]*Pi + 3*Sqrt[10/(5 + Sqrt[5])]*Pi + 3*Log[3125/729] + 3*Sqrt[5]*Log[5 - Sqrt[5]] - 3*Sqrt[5]*Log[5 + Sqrt[5]]))/16}
{{}, {3/5, 4/5}, $Aborted}
{{}, {1/2, -3/2}, 4/3}
{{}, {1/4, -2}, (-2*(-3 + Pi - 2*Log[8]))/9}
{{}, {3/5, 1/3}, $Aborted}
{{}, {-1/3, -4}, (-11 + 2*Sqrt[3]*Pi + 18*Log[3])/44}
{{}, {-1/5, -1/2}, $Aborted}
{{}, {-1/5, -3}, (-380 + 3*Sqrt[2]*(5 + Sqrt[5])^(3/2)*Pi + 10*Log[30517578125] - 30*Sqrt[5]*Log[5 - Sqrt[5]] + 30*Sqrt[5]*Log[5 + Sqrt[5]])/336}
{{}, {-5/4, 4/5}, $Aborted}
{{}, {-2/3, 3/4}, (2*(9 + 3*Pi + Sqrt[3]*Pi - 9*Log[3] + 6*Log[8]))/17}
{{}, {5/4, -1/2}, $Aborted}
{{}, {5/4, 2/3}, (-2*(24 + 3*Pi + Sqrt[3]*Pi + 9*Log[3] - 6*Log[8]))/7}
{{}, {-1/3, -1/3}, PolyGamma[1, 4/3]}
{{}, {-1/2, 3/5}, (5*(8 - Sqrt[2/(5 + Sqrt[5])]*Pi + Sqrt[10/(5 + Sqrt[5])]*Pi + Log[3125/256] + Sqrt[5]*Log[5 - Sqrt[5]] - Sqrt[5]*Log[5 + Sqrt[5]]))/22}
{{}, {-1/4, -4}, (-23 + 6*Pi + 12*Log[8])/45}
{{}, {3/4, -5/4}, 12/5}
{{}, {1/5, 0}, $Aborted}
{{}, {5/2, -1/5}, $Aborted}
{{}, {2/3, -1/2}, $Aborted}
{{}, {-1/4, -4/5}, $Aborted}
{{}, {-4, -3/4}, (3 - 2*Pi + 4*Log[8])/13}
{{}, {-5, 1/5}, $Aborted}
{{}, {-1/5, -3/2}, $Aborted}
{{}, {-3, -3/4}, (-2*(-1 + Pi - 2*Log[8]))/9}
{{}, {-1/3, -1/2}, -6 + Sqrt[3]*Pi - 12*Log[2] + 9*Log[3]}
{{}, {-3, 1/3}, (11 - Sqrt[3]*Pi + 9*Log[3])/20}
{{}, {2/5, 5/4}, $Aborted}
{{}, {1/5, -4/5}, 5/4}
{{}, {-4/3, 5/4}, (-3 - 6*Pi - 2*Sqrt[3]*Pi + 12*Log[8] - 3*Log[729])/31}
{{}, {2/3, -2/5}, $Aborted}
{{}, {2/3, -3/2}, (16 + Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/13}
{{}, {1/3, 2/3}, Sqrt[3]*Pi}
{{}, {-4, 1/4}, (25 - 6*Pi + 12*Log[8])/51}
{{}, {-1/2, -3/4}, (2*(-4 + 3*Pi - 6*Log[2]))/3}
{{}, {-2/5, 4/5}, $Aborted}
{{}, {-5/2, 3/5}, $Aborted}
{{}, {1/5, 1/3}, $Aborted}
{{}, {-1, 1/5}, $Aborted}
{{}, {-3/2, 1/3}, (16 - Sqrt[3]*Pi - 12*Log[2] + 9*Log[3])/11}
{{}, {-3/5, -3/2}, (-5*(-4 - Sqrt[2/(5 + Sqrt[5])]*Pi + Sqrt[10/(5 + Sqrt[5])]*Pi - Log[3125/256] - Sqrt[5]*Log[5 - Sqrt[5]] + Sqrt[5]*Log[5 + Sqrt[5]]))/18}
{{}, {5/3, -1/5}, $Aborted}
{{}, {-4/5, -4/3}, $Aborted}
{{}, {-1, -4/5}, $Aborted}
{{}, {-5/3, -1}, (33 + 5*Sqrt[3]*Pi - 45*Log[3])/20}
{{}, {1/2, 3/5}, (5*(-(Sqrt[2]*Pi) + Sqrt[10]*Pi + Sqrt[5 + Sqrt[5]]*Log[3125/256] + Sqrt[5*(5 + Sqrt[5])]*Log[5 - Sqrt[5]] - Sqrt[5*(5 + Sqrt[5])]*Log[5 + Sqrt[5]]))/(2*Sqrt[5 + Sqrt[5]])}
{{}, {0, -1/5}, $Aborted}
{{}, {4/5, -3/5}, $Aborted}
{{}, {-5/4, -1/2}, (-2*(-28 + 5*Pi + Log[1024]))/15}
{{}, {-1/5, 3/2}, $Aborted}
{{}, {5/4, 1/5}, $Aborted}
{{}, {1/2, -3/4}, (2*(8 + 3*Pi - 6*Log[2]))/15}
